Date,Venue,City,Region,Composer Name,Variant Title,Work Title,Concert Info,Works Info,Conductor/Performer,Ensemble,Holdings 1,Holdings 2,URL [primary source],URL [catalog]
1865-12-15T08:00,Liceo de la Habana,Havana,Cuba,"Liszt, Franz","Fantasía dramatica sobre ""Lucía de Lammermoor"" de Donizetti","Réminiscences de Lucia di Lammermoor, S.397",Second Musical Soiree,,,,"Teresa Carreño Collection. Archives and Special Collections Library, Vassar College: Folder 14.8 Concert Programs",,http://documentingcarreno.org/items/show/151,
1869-03-27T08:30,"Champs-Élysées, Salle du Cirque de L'Impératrice",Paris,France,"Gounod, Charles","Ave Maria with orchestra, organ, and piano",Ave Maria,Concert Spirituel,,,,Bibliotheque national de France: Programmes - France - Paris- Société academique de musique sacré,,,
1869-03-27T08:30,"Champs-Élysées, Salle du Cirque de L'Impératrice",Paris,France,"Mendelssohn, Felix",Caprice symphonique with accompaniment by orchestra,"Capriccio Brillant, Op. 22",Concert Spirituel,,,,Bibliotheque national de France: Programmes - France - Paris- Société academique de musique sacré,,,
1870-09-29T07:30,Free Trade Hall,Manchester,England,"Liszt, Franz / Gounod, Charles",Grand Fantasia on Air's from 'Faust',Valse de L'Opéra Faust de Gounod,Debut Concert,Uncertain of exact title,,,"Henry Watson Music Library: Bannister Scrapbook Collection 1 (1861-1897), R780.2 Sj3",,,http://www.concertprogrammes.org.uk/html/search/verb/GetRecord/3815
1870-09-29T07:30,Free Trade Hall,Manchester,England,"Mendelssohn, Felix",Rondo Capriccioso,"Rondo Capriccioso, Op. 14",Debut Concert,,,,"Henry Watson Music Library: Bannister Scrapbook Collection 1 (1861-1897), R780.2 Sj3",,,http://www.concertprogrammes.org.uk/html/search/verb/GetRecord/3815
1870-09-29T07:30,Free Trade Hall,Manchester,England,"Carreño, Teresa",Caprice Polonaise (Une Revue a Prague),"Une revue a_ Prague Caprice de concert, Op. 27",Debut Concert,,,,"Henry Watson Music Library: Bannister Scrapbook Collection 1 (1861-1897), R780.2 Sj3",,,http://www.concertprogrammes.org.uk/html/search/verb/GetRecord/3815
1874-06-11T03:00,Queen’s Concert Rooms,Hanover Square,London,"Mendelssohn, Felix","Quartet in B minor for Violin, Viola, and Violoncello","Piano Quartet No. 3, Op. 3",Morning Concert,,"Sauret, Émile",,"Teresa Carreño Collection. Archives and Special Collections Library, Vassar College: Folder 14.8 Concert Programs",,,
1874-06-11T03:00,Queen’s Concert Rooms,Hanover Square,London,"Beethoven, Ludwig van","Sonate in G major, op. 30 for Piano and Violin","Violin Sonata No. 8, Op. 30 No. 3",Morning Concert,,"Sauret, Émile",,"Teresa Carreño Collection. Archives and Special Collections Library, Vassar College: Folder 14.8 Concert Programs",,,
1874-06-11T03:00,Queen’s Concert Rooms,Hanover Square,London,"Cimarosa, Domenico","Trio from ""Il Matrimonio Segreto""","Trio 'Le faccio un inchino' from ""Il Matrimonio Segreto""",Morning Concert,,"Sauret, Émile",,"Teresa Carreño Collection. Archives and Special Collections Library, Vassar College: Folder 14.8 Concert Programs",,,
1874-06-11T03:00,Queen’s Concert Rooms,Hanover Square,London,"Carreño, Teresa","""Highland"" Caprice","Highland. Souvenir d'Écosse Caprice, Op. 30",Morning Concert,,,,"Teresa Carreño Collection. Archives and Special Collections Library, Vassar College: Folder 14.8 Concert Programs",,,
1874-06-11T03:00,Queen’s Concert Rooms,Hanover Square,London,"Carreño, Teresa","""La fausse note"" Valse","La fausse note Fantasie-Valse, Op. 39",Morning Concert,,,,"Teresa Carreño Collection. Archives and Special Collections Library, Vassar College: Folder 14.8 Concert Programs",,,
1874-06-11T03:00,Queen’s Concert Rooms,Hanover Square,London,"Thalberg, Sigismond / de Beriot, Charles-August","Grand Duo sur les Huguenots, for Piano and Violin","Grand duo concertant pour piano et violon sur des motifs de l'opéra ""Les Huguenots,"" Op. 43",Morning Concert,,"Sauret, Émile",,"Teresa Carreño Collection. Archives and Special Collections Library, Vassar College: Folder 14.8 Concert Programs",,,
1876-10-29T07:30,Boston Theatre,Boston,Massachusetts,"Liszt, Franz / Gounod, Charles",Fantasie on “Faust”,Valse de L'Opéra Faust de Gounod,Grand Sunday Vocal and Orchestral Concert,Uncertain of exact title,,,"New York Public Library, Performing Arts Division: Music Division Clipping File: Carreño Programs (MBD - uncat)",,,
1879-1880,unknown,unknown,,"Liszt, Franz",Polonaise in E,"Polonaise, S.223 No. 2",Clara Louise Kellogg Concerts,Incomplete program,,,"New York Public Library, Performing Arts Division: Music Division Clipping File: Carreño Programs (MBD - uncat)",,,
1879-1880,unknown,unknown,,"Liszt, Franz",Polonaise in E,"Polonaise, S.223 No. 2",Clara Louise Kellogg Concerts,Incomplete program,,,"New York Public Library, Performing Arts Division: Music Division Clipping File: Carreño Programs (MBD - uncat)",,,
1879-1880,unknown,unknown,,"Carreño, Teresa","Intermezzo, The Spring","Intermezzo-Scherzoso, Op. 34",Kate Thayer Concerts,Exact title not identified; incomplete program,,,"New York Public Library, Performing Arts Division: Music Division Clipping File: Carreño Programs (MBD - uncat)",,,
1883-05-27T08:30,Academy of Music,Petersburg,Virginia,"Chopin, Fryderyk","Piano Concerto in E minor, with accompaniment of Festival Orchestra","Piano Concerto No. 1, Op. 11",Second Music Festival,,"Zerrahn, Carl",,"Teresa Carreño Collection. Archives and Special Collections Library, Vassar College: Folder 14.11 Concert Programs",,,
1883-05-27T08:30,Academy of Music,Petersburg,Virginia,"Liszt, Franz",Fantaisie Hongroise with orchestra,"Fantasie über ungarische Volksmelodien, S.123",Second Music Festival,,"Zerrahn, Carl",,"Teresa Carreño Collection. Archives and Special Collections Library, Vassar College: Folder 14.11 Concert Programs",,,
1883-05-28T01:00,Academy of Music,Petersburg,Virginia,"Beethoven, Ludwig van","Sonata Appassionata, op. 57","Piano Sonata No. 23, Op. 57",Second Music Festival,,,,"Teresa Carreño Collection. Archives and Special Collections Library, Vassar College: Folder 14.11 Concert Programs",,,
1883-05-28T01:00,Academy of Music,Petersburg,Virginia,"Chopin, Fryderyk",Prelude in D flat,"Prelude, Op. 28 No. 15",Second Music Festival,,,,"Teresa Carreño Collection. Archives and Special Collections Library, Vassar College: Folder 14.11 Concert Programs",,,
1883-05-28T01:00,Academy of Music,Petersburg,Virginia,"Chopin, Fryderyk",Polonaise in C sharp minor,"Polonaise, Op. 26 No. 1",Second Music Festival,,,,"Teresa Carreño Collection. Archives and Special Collections Library, Vassar College: Folder 14.11 Concert Programs",,,
1883-05-28T01:00,Academy of Music,Petersburg,Virginia,"Chopin, Fryderyk",Ballade in A-flat,"Ballade in A-flat Major, Op. 47",Second Music Festival,,,,"Teresa Carreño Collection. Archives and Special Collections Library, Vassar College: Folder 14.11 Concert Programs",,,
1883-05-28T01:00,Academy of Music,Petersburg,Virginia,"Schubert, Franz",Impromptu,Impromptu,Second Music Festival,Opus/number not identified,,,"Teresa Carreño Collection. Archives and Special Collections Library, Vassar College: Folder 14.11 Concert Programs",,,
1883-05-28T01:00,Academy of Music,Petersburg,Virginia,"Hiller, Ferdinand",Zur Guitarre,"Zur Guitarre, Op. 97",Second Music Festival,,,,"Teresa Carreño Collection. Archives and Special Collections Library, Vassar College: Folder 14.11 Concert Programs",,,
1883-05-28T01:00,Academy of Music,Petersburg,Virginia,"Schubert, Franz / Liszt, Franz",Soiree de Vienne (Valse),"Soirées de Vienne, S.427",Second Music Festival,Opus/number not identified,,,"Teresa Carreño Collection. Archives and Special Collections Library, Vassar College: Folder 14.11 Concert Programs",,,
1883-05-28T01:00,Academy of Music,Petersburg,Virginia,"Liszt, Franz","Rhapsodie Hongroise, No. 6","Rhapsodie Hongroise No. 6, S.244/6",Second Music Festival,,,,"Teresa Carreño Collection. Archives and Special Collections Library, Vassar College: Folder 14.11 Concert Programs",,,
1883-08-01T00:00,Town Hall,Saratoga,New York,"Liszt, Franz",Polonaise,"Polonaise, S.223 No. 2",Mapleson's Grand Opera and Musical Festival,,,,"Library of Congress, Music Division: Edward and Marian MacDowell Collection, 1861-1960. ML31. M198, Box 35",,,
1883-08-01T00:00,Town Hall,Saratoga,New York,"Chopin, Fryderyk",Nocturne in D flat,"Nocturne, Op. 27 No. 2",Mapleson's Grand Opera and Musical Festival,,,,"Library of Congress, Music Division: Edward and Marian MacDowell Collection, 1861-1960. ML31. M198, Box 35",,,
1883-08-01T00:00,Town Hall,Saratoga,New York,"Chopin, Fryderyk",Valse in A flat,"Waltz in A-flat major, Op. 42",Mapleson's Grand Opera and Musical Festival,,,,"Library of Congress, Music Division: Edward and Marian MacDowell Collection, 1861-1960. ML31. M198, Box 35",,,
