Decade,Date,Venue,City,State,Country,Coverage,Composer Name,Variant Title,Work Title,Concert Info,Works Info,Conductor/Performer,Ensemble,Holdings 1,RISM 1,Holdings 2,RISM 2,Resource URL,Record URL,,
1860,1865-12-15T20:00,Liceo de la Habana,Havana,,Cuba,"23.1135925, -82.3665956","Thalberg, Sigismond","Gran Fantasía sobre ""D. Juan"" de Mozart","Grande Fantaisie et variations sur ""Don Juan,"" op. 14",Second Musical Soiree,,,,"Vassar College, Archives and Special Collections. Teresa Carreño Collection: Folder 14.8 Concert Programs",US-PO,,,http://documentingcarreno.org/items/show/151,http://specialcollections.vassar.edu/collections/manuscripts/findingaids/carreno_teresa.html,,
1860,1865-12-15T20:00,Liceo de la Habana,Havana,,Cuba,"23.1135925, -82.3665956","Gottschalk, Louis M.",Printemps d'amour - Capricho de Concierto,"Printemps d'amour, op. 40",Second Musical Soiree,,,,"Vassar College, Archives and Special Collections. Teresa Carreño Collection: Folder 14.8 Concert Programs",US-PO,,,http://documentingcarreno.org/items/show/151,http://specialcollections.vassar.edu/collections/manuscripts/findingaids/carreno_teresa.html,,
1860,1865-12-15T20:00,Liceo de la Habana,Havana,,Cuba,"23.1135925, -82.3665956","Prudent, Émile","Fantasía sobre ""Ernani"" de Verdi","Caprice sur ""Ernani,"" op. 31",Second Musical Soiree,,,,"Vassar College, Archives and Special Collections. Teresa Carreño Collection: Folder 14.8 Concert Programs",US-PO,,,http://documentingcarreno.org/items/show/151,http://specialcollections.vassar.edu/collections/manuscripts/findingaids/carreno_teresa.html,,
1860,1865-12-15T20:00,Liceo de la Habana,Havana,,Cuba,"23.1135925, -82.3665956","Thalberg, Sigismond","Fantasía sobre ""Los Hugonotes de Meyerbeer""","Grande Fantaisie sur ""Les Huguenots,"" op. 43",Second Musical Soiree,,,,"Vassar College, Archives and Special Collections. Teresa Carreño Collection: Folder 14.8 Concert Programs",US-PO,,,http://documentingcarreno.org/items/show/151,http://specialcollections.vassar.edu/collections/manuscripts/findingaids/carreno_teresa.html,,
1860,1865-12-15T20:00,Liceo de la Habana,Havana,,Cuba,"23.1135925, -82.3665956","Carreño, Teresa",Balada,"Ballade, [op. 15]",Second Musical Soiree,Opus/number not identified,,,"Vassar College, Archives and Special Collections. Teresa Carreño Collection: Folder 14.8 Concert Programs",US-PO,,,http://documentingcarreno.org/items/show/151,http://specialcollections.vassar.edu/collections/manuscripts/findingaids/carreno_teresa.html,,
1860,1865-12-15T20:00,Liceo de la Habana,Havana,,Cuba,"23.1135925, -82.3665956","Liszt, Franz","Fantasía dramatica sobre ""Lucía de Lammermoor"" de Donizetti","Réminiscences de Lucia di Lammermoor, S.397",Second Musical Soiree,,,,"Vassar College, Archives and Special Collections. Teresa Carreño Collection: Folder 14.8 Concert Programs",US-PO,,,http://documentingcarreno.org/items/show/151,http://specialcollections.vassar.edu/collections/manuscripts/findingaids/carreno_teresa.html,,
1860,1869-03-27T20:30,"Champs-Élysées, Salle du Cirque de L'Impératrice",Paris,,France,"48.856614, 2.3522219","Gounod, Charles","Ave Maria with orchestra, organ, and piano",Ave Maria,Concert Spirituel,,,,Bibliotheque national de France: Programmes - France - Paris- Société academique de musique sacré,F-Pn,,,,,,
1860,1869-03-27T20:30,"Champs-Élysées, Salle du Cirque de L'Impératrice",Paris,,France,"48.856614, 2.3522219","Mendelssohn, Felix",Caprice symphonique with accompaniment by orchestra,"Capriccio Brillante, op. 22",Concert Spirituel,,,,Bibliotheque national de France: Programmes - France - Paris- Société academique de musique sacré,F-Pn,,,,,,
1870,1870-09-29T19:30,Free Trade Hall,Manchester,,England,"53.4807593, -2.2426305","Liszt, Franz / Gounod, Charles",Grand Fantasia on Air's from 'Faust',Valse de L'Opéra Faust de Gounod,Debut Concert,Uncertain of exact title,,,"Henry Watson Music Library: Bannister Scrapbook Collection 1 (1861-1897), R780.2 Sj3",GB-Mp,,,,http://www.concertprogrammes.org.uk/html/search/verb/GetRecord/3815,,
1870,1870-09-29T19:30,Free Trade Hall,Manchester,,England,"53.4807593, -2.2426305","Mendelssohn, Felix",Rondo Capriccioso,"Rondo Capriccioso, op. 14",Debut Concert,,,,"Henry Watson Music Library: Bannister Scrapbook Collection 1 (1861-1897), R780.2 Sj3",GB-Mp,,,,http://www.concertprogrammes.org.uk/html/search/verb/GetRecord/3815,,
1870,1870-09-29T19:30,Free Trade Hall,Manchester,,England,"53.4807593, -2.2426305","Carreño, Teresa",Caprice Polonaise (Une Revue a Prague),"Une revue à Prague Caprice de concert, op. 27",Debut Concert,,,,"Henry Watson Music Library: Bannister Scrapbook Collection 1 (1861-1897), R780.2 Sj3",GB-Mp,,,,http://www.concertprogrammes.org.uk/html/search/verb/GetRecord/3815,,
1870,1874-06-11T15:00,"Queen’s Concert Rooms, Hanover Square",London,,England,"51.5073509, -0.1277583","Mendelssohn, Felix","Quartet in B minor for Violin, Viola, and Violoncello","Piano Quartet no. 3, op. 3",Morning Concert,,"Sauret, Émile",,"Vassar College, Archives and Special Collections. Teresa Carreño Collection: Folder 14.8 Concert Programs",US-PO,,,,http://specialcollections.vassar.edu/collections/manuscripts/findingaids/carreno_teresa.html,,
1870,1874-06-11T15:00,"Queen’s Concert Rooms, Hanover Square",London,,England,"51.5073509, -0.1277583","Beethoven, Ludwig van","Sonate in G major, op. 30 for Piano and Violin","Violin Sonata no. 8, op. 30 no. 3",Morning Concert,,"Sauret, Émile",,"Vassar College, Archives and Special Collections. Teresa Carreño Collection: Folder 14.8 Concert Programs",US-PO,,,,http://specialcollections.vassar.edu/collections/manuscripts/findingaids/carreno_teresa.html,,
1870,1874-06-11T15:00,"Queen’s Concert Rooms, Hanover Square",London,,England,"51.5073509, -0.1277583","Cimarosa, Domenico","Trio from ""Il Matrimonio Segreto""","Trio 'Le faccio un inchino' from ""Il Matrimonio Segreto""",Morning Concert,,"Sauret, Émile",,"Vassar College, Archives and Special Collections. Teresa Carreño Collection: Folder 14.8 Concert Programs",US-PO,,,,http://specialcollections.vassar.edu/collections/manuscripts/findingaids/carreno_teresa.html,,
1870,1874-06-11T15:00,"Queen’s Concert Rooms, Hanover Square",London,,England,"51.5073509, -0.1277583","Carreño, Teresa","""Highland"" Caprice","Highland. Souvenir d'Écosse Caprice, op. 30",Morning Concert,,,,"Vassar College, Archives and Special Collections. Teresa Carreño Collection: Folder 14.8 Concert Programs",US-PO,,,,http://specialcollections.vassar.edu/collections/manuscripts/findingaids/carreno_teresa.html,,
1870,1874-06-11T15:00,"Queen’s Concert Rooms, Hanover Square",London,,England,"51.5073509, -0.1277583","Carreño, Teresa","""La fausse note"" Valse","La fausse note Fantasie-Valse, op. 39",Morning Concert,,,,"Vassar College, Archives and Special Collections. Teresa Carreño Collection: Folder 14.8 Concert Programs",US-PO,,,,http://specialcollections.vassar.edu/collections/manuscripts/findingaids/carreno_teresa.html,,
1870,1874-06-11T15:00,"Queen’s Concert Rooms, Hanover Square",London,,England,"51.5073509, -0.1277583","Thalberg, Sigismond / de Beriot, Charles-August","Grand Duo sur les Huguenots, for Piano and Violin","Grand duo concertant pour piano et violon sur des motifs de l'opéra ""Les Huguenots,"" op. 43",Morning Concert,,"Sauret, Émile",,"Vassar College, Archives and Special Collections. Teresa Carreño Collection: Folder 14.8 Concert Programs",US-PO,,,,http://specialcollections.vassar.edu/collections/manuscripts/findingaids/carreno_teresa.html,,
1870,1876-10-29T19:30,Boston Theatre,Boston,Massachusetts,United States,"42.3600825, -71.0588801","Liszt, Franz / Gounod, Charles",Fantasie on “Faust”,Valse de L'Opéra Faust de Gounod,Grand Sunday Vocal and Orchestral Concert,Uncertain of exact title,,,"New York Public Library, Performing Arts Division: Music Division Clipping File: Carreño Programs (MBD - uncat)",US-Nyp,,,,http://catalog.nypl.org/record=b18275085~S1,,
1870,1879-1880,unknown,unknown,,,,"Liszt, Franz",Polonaise in E,"Polonaise, S.223 no. 2",Clara Louise Kellogg Concerts,Incomplete program,,,"New York Public Library, Performing Arts Division: Music Division Clipping File: Carreño Programs (MBD - uncat)",US-Nyp,,,,http://catalog.nypl.org/record=b18275085~S1,,
1870,1879-1880,unknown,unknown,,,,"Liszt, Franz",Polonaise in E,"Polonaise, S.223 no. 2",Clara Louise Kellogg Concerts,Incomplete program,,,"New York Public Library, Performing Arts Division: Music Division Clipping File: Carreño Programs (MBD - uncat)",US-Nyp,,,,http://catalog.nypl.org/record=b18275085~S1,,
1870,1879-1880,unknown,unknown,,,,"Carreño, Teresa","Intermezzo, The Spring","Intermezzo-Scherzoso, op. 34",Kate Thayer Concerts,Exact title not identified; incomplete program,,,"New York Public Library, Performing Arts Division: Music Division Clipping File: Carreño Programs (MBD - uncat)",US-Nyp,,,,http://catalog.nypl.org/record=b18275085~S1,,
1880,1883-05-27T20:30,Academy of Music,Petersburg,Virginia,United States,,"Chopin, Fryderyk","Piano Concerto in E minor, with accompaniment of Festival Orchestra","Piano Concerto no. 1, op. 11",Second Music Festival,,"Zerrahn, Carl",,"Vassar College, Archives and Special Collections. Teresa Carreño Collection: Folder 14.11 Concert Programs",US-PO,,,,http://specialcollections.vassar.edu/collections/manuscripts/findingaids/carreno_teresa.html,,
1880,1883-05-27T20:30,Academy of Music,Petersburg,Virginia,United States,"37.2279279, -77.4019267","Liszt, Franz",Fantaisie Hongroise with orchestra,"Fantasie über ungarische Volksmelodien, S.123",Second Music Festival,,"Zerrahn, Carl",,"Vassar College, Archives and Special Collections. Teresa Carreño Collection: Folder 14.11 Concert Programs",US-PO,,,,http://specialcollections.vassar.edu/collections/manuscripts/findingaids/carreno_teresa.html,,
1880,1883-05-28T13:00,Academy of Music,Petersburg,Virginia,United States,"37.2279279, -77.4019267","Beethoven, Ludwig van","Sonata Appassionata, op. 57","Piano Sonata no. 23, op. 57",Second Music Festival,,,,"Vassar College, Archives and Special Collections. Teresa Carreño Collection: Folder 14.11 Concert Programs",US-PO,,,,http://specialcollections.vassar.edu/collections/manuscripts/findingaids/carreno_teresa.html,,
1880,1883-05-28T13:00,Academy of Music,Petersburg,Virginia,United States,"37.2279279, -77.4019267","Chopin, Fryderyk",Prelude in D flat,"Prelude, op. 28 no. 15",Second Music Festival,,,,"Vassar College, Archives and Special Collections. Teresa Carreño Collection: Folder 14.11 Concert Programs",US-PO,,,,http://specialcollections.vassar.edu/collections/manuscripts/findingaids/carreno_teresa.html,,
1880,1883-05-28T13:00,Academy of Music,Petersburg,Virginia,United States,"37.2279279, -77.4019267","Chopin, Fryderyk",Polonaise in C sharp minor,"Polonaise, op. 26 no. 1",Second Music Festival,,,,"Vassar College, Archives and Special Collections. Teresa Carreño Collection: Folder 14.11 Concert Programs",US-PO,,,,http://specialcollections.vassar.edu/collections/manuscripts/findingaids/carreno_teresa.html,,
1880,1883-05-28T13:00,Academy of Music,Petersburg,Virginia,United States,"37.2279279, -77.4019267","Chopin, Fryderyk",Ballade in A-flat,"Ballade in A-flat Major, op. 47",Second Music Festival,,,,"Vassar College, Archives and Special Collections. Teresa Carreño Collection: Folder 14.11 Concert Programs",US-PO,,,,http://specialcollections.vassar.edu/collections/manuscripts/findingaids/carreno_teresa.html,,
1880,1883-05-28T13:00,Academy of Music,Petersburg,Virginia,United States,"37.2279279, -77.4019267","Schubert, Franz",Impromptu,Impromptu,Second Music Festival,Opus/number not identified,,,"Vassar College, Archives and Special Collections. Teresa Carreño Collection: Folder 14.11 Concert Programs",US-PO,,,,http://specialcollections.vassar.edu/collections/manuscripts/findingaids/carreno_teresa.html,,
1880,1883-05-28T13:00,Academy of Music,Petersburg,Virginia,United States,"37.2279279, -77.4019267","Hiller, Ferdinand",Zur Guitarre,"Zur Guitarre, op. 97",Second Music Festival,,,,"Vassar College, Archives and Special Collections. Teresa Carreño Collection: Folder 14.11 Concert Programs",US-PO,,,,http://specialcollections.vassar.edu/collections/manuscripts/findingaids/carreno_teresa.html,,
1880,1883-05-28T13:00,Academy of Music,Petersburg,Virginia,United States,"37.2279279, -77.4019267","Schubert, Franz / Liszt, Franz",Soiree de Vienne (Valse),"Soirées de Vienne, S.427",Second Music Festival,,,,"Vassar College, Archives and Special Collections. Teresa Carreño Collection: Folder 14.11 Concert Programs",US-PO,,,,http://specialcollections.vassar.edu/collections/manuscripts/findingaids/carreno_teresa.html,,
1880,1883-05-28T13:00,Academy of Music,Petersburg,Virginia,United States,"37.2279279, -77.4019267","Liszt, Franz","Rhapsodie Hongroise, No. 6","Rhapsodie Hongroise no. 6, S.244/6",Second Music Festival,,,,"Vassar College, Archives and Special Collections. Teresa Carreño Collection: Folder 14.11 Concert Programs",US-PO,,,,http://specialcollections.vassar.edu/collections/manuscripts/findingaids/carreno_teresa.html,,
1880,1883-08-01T00:00,Town Hall,Saratoga,New York,United States,"43.0324245, -73.9359821","Liszt, Franz",Polonaise,"Polonaise, S.223 no. 2",Mapleson's Grand Opera and Musical Festival,,,,"Library of Congress, Music Division: Edward and Marian MacDowell Collection, 1861-1960. ML31. M198, Box 35",US-Wc,,,,http://hdl.loc.gov/loc.music/eadmus.mu2005.wp.0024,,
1880,1883-08-01T00:00,Town Hall,Saratoga,New York,United States,"43.0324245, -73.9359821","Chopin, Fryderyk",Nocturne in D flat,"Nocturne, op. 27 no. 2",Mapleson's Grand Opera and Musical Festival,,,,"Library of Congress, Music Division: Edward and Marian MacDowell Collection, 1861-1960. ML31. M198, Box 35",US-Wc,,,,http://hdl.loc.gov/loc.music/eadmus.mu2005.wp.0024,,
1880,1883-08-01T00:00,Town Hall,Saratoga,New York,United States,"43.0324245, -73.9359821","Chopin, Fryderyk",Valse in A flat,"Waltz in A-flat major, op. 42",Mapleson's Grand Opera and Musical Festival,,,,"Library of Congress, Music Division: Edward and Marian MacDowell Collection, 1861-1960. ML31. M198, Box 35",US-Wc,,,,http://hdl.loc.gov/loc.music/eadmus.mu2005.wp.0024,,
1880,1883-08-03T00:00,Town Hall,Saratoga,New York,United States,"43.0324245, -73.9359821","Liszt, Franz",Rhapsodie No. 6,"Rhapsodie Hongroise no. 6, S.244/6",Mapleson's Grand Opera and Musical Festival,,,,"Library of Congress, Music Division: Edward and Marian MacDowell Collection, 1861-1960. ML31. M198, Box 35",US-Wc,,,,http://hdl.loc.gov/loc.music/eadmus.mu2005.wp.0024,,
1880,1883-08-03T00:00,Town Hall,Saratoga,New York,United States,"43.0324245, -73.9359821","Moszkowsky, Moritz",Serenade,"Serenata - 6 Klavierstücke, op. 15",Mapleson's Grand Opera and Musical Festival,,,,"Library of Congress, Music Division: Edward and Marian MacDowell Collection, 1861-1960. ML31. M198, Box 35",US-Wc,,,,http://hdl.loc.gov/loc.music/eadmus.mu2005.wp.0024,,
1880,1883-08-03T00:00,Town Hall,Saratoga,New York,United States,"43.0324245, -73.9359821","Tausig, Carl",Nachtfalter (waltz),Valse-Caprice no. 1,Mapleson's Grand Opera and Musical Festival,,,,"Library of Congress, Music Division: Edward and Marian MacDowell Collection, 1861-1960. ML31. M198, Box 35",US-Wc,,,,http://hdl.loc.gov/loc.music/eadmus.mu2005.wp.0024,,
1880,1883-08-04T00:00,Town Hall,Saratoga,New York,United States,"43.0324245, -73.9359821","Weber, Carl Maria von",Andante and Finale from Sonate in C major,"Andante and Finale - Piano Sonata no. 1 in C major, op. 24",Mapleson's Grand Opera and Musical Festival,,,,"Library of Congress, Music Division: Edward and Marian MacDowell Collection, 1861-1960. ML31. M198, Box 35",US-Wc,,,,http://hdl.loc.gov/loc.music/eadmus.mu2005.wp.0024,,
1880,1883-08-04T00:00,Town Hall,Saratoga,New York,United States,"43.0324245, -73.9359821","MacDowell, Edward","Andantino, Moderne Suite op. 10","Andantino - First Modern Suite, op. 10",Mapleson's Grand Opera and Musical Festival,,,,"Library of Congress, Music Division: Edward and Marian MacDowell Collection, 1861-1960. ML31. M198, Box 35",US-Wc,,,,http://hdl.loc.gov/loc.music/eadmus.mu2005.wp.0024,,
